__id,pr_0,w_pr_0,kc_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,spath_top_1_0,spath_top_1_1,spath_top_1_2,spath_top_1_3,spath_top_1_4,spath_top_min_1,w_spath_top_1_0,w_spath_top_1_1,w_spath_top_1_2,w_spath_top_1_3,w_spath_top_1_4,w_spath_top_min_1,spath_top_2_0,spath_top_2_1,spath_top_2_2,spath_top_2_3,spath_top_2_4,spath_top_min_2,w_spath_top_2_0,w_spath_top_2_1,w_spath_top_2_2,w_spath_top_2_3,w_spath_top_2_4,w_spath_top_min_2
c5642f4d-a1ce-4e59-8d02-0e745999222a,0.3027478813559322,0.47799375,3,4,0,0,0.9795613518366459,0.5562946875,5.0,4.0,5.0,5.0,5.0,4.0,30.0,25.0,23.0,24.0,27.0,23.0,5.0,4.0,5.0,5.0,5.0,4.0,30.0,25.0,23.0,24.0,27.0,23.0
21d1a828-dc91-36fa-1bab-edbef7ba3474,0.34311647300519527,0.857758242863828,5,12,0,3,1.3269599349477148,0.857758242863828,3.0,3.0,3.0,3.0,4.0,3.0,13.0,9.0,8.0,9.0,13.0,8.0,3.0,3.0,3.0,3.0,4.0,3.0,13.0,9.0,8.0,9.0,13.0,8.0
84766ea2-2965-c71d-c17e-b66d888a517b,0.21375,0.15,1,1,0,0,0.3796974491452423,0.15,5.0,5.0,5.0,5.0,5.0,5.0,20.0,14.0,15.0,16.0,19.0,14.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,14.0,15.0,16.0,19.0,14.0
a1c3b630-86e3-85b0-16f0-d48b90bde147,0.15344594594594593,0.15,1,1,0,0,0.2521568905423588,0.15,4.0,6.0,6.0,6.0,6.0,4.0,21.0,14.0,14.0,13.0,19.0,13.0,4.0,6.0,6.0,6.0,6.0,4.0,21.0,14.0,14.0,13.0,19.0,13.0
051965e2-db4b-88df-dce3-38f721c9d27d,0.15364285714285714,0.15,1,1,0,0,0.27973344152857305,0.15,4.0,4.0,4.0,4.0,4.0,4.0,18.0,11.0,12.0,10.0,17.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,11.0,12.0,10.0,17.0,10.0
5330061d-6bfb-469d-b25d-ae117518db8c,0.2775,0.38587499999999997,3,3,0,0,1.0,0.38587499999999997,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0a4df506-bdc4-79f0-82f5-27fedf94265f,0.17124999999999999,0.15,1,1,0,0,0.28519922093920635,0.15,5.0,5.0,5.0,5.0,6.0,5.0,21.0,13.0,15.0,16.0,18.0,13.0,5.0,5.0,5.0,5.0,6.0,5.0,21.0,13.0,15.0,16.0,18.0,13.0
cef320e5-e192-a148-0874-dfab596f457f,0.2141559416603344,0.9368865766993457,5,17,0,7,1.7692651855112218,0.9368865766993457,3.0,3.0,3.0,3.0,4.0,3.0,16.0,12.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,4.0,3.0,16.0,12.0,10.0,10.0,10.0,10.0
5974eef3-2a76-75b5-5484-6bd7b25a9993,0.1510858604651373,0.15,1,1,0,0,0.27370067297383965,0.15,3.0,4.0,3.0,5.0,4.0,3.0,21.0,16.0,13.0,17.0,20.0,13.0,3.0,4.0,3.0,5.0,4.0,3.0,21.0,16.0,13.0,17.0,20.0,13.0
c2642b06-f3ba-c60d-a5d3-3a992d6bcf4b,0.1929185900879622,0.8972303304691157,5,14,0,5,1.0999530551790628,0.8972303304691157,3.0,3.0,3.0,3.0,3.0,3.0,17.0,11.0,11.0,10.0,14.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,11.0,11.0,10.0,14.0,10.0
