uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
e0550ea3-466e-14bf-7fe2-13fc8ea1b0e5,4,4,5,0.47799375,28.0,22.0,21.0,21.0,24.0,21.0
ca98fe2d-0751-f95d-fc88-8fbb99ebb17b,95,95,5,0.9999998324220518,15.0,10.0,9.0,10.0,13.0,9.0
21d1a828-dc91-36fa-1bab-edbef7ba3474,12,12,5,0.857758242863828,13.0,9.0,8.0,9.0,13.0,8.0
96f20874-45f6-7b5b-8315-b0e106078e48,1,1,2,0.15,18.0,13.0,13.0,15.0,18.0,13.0
004d612c-9fdc-5ffd-8bfd-2932c18fec5c,11,11,5,0.8326567563103858,18.0,11.0,12.0,12.0,16.0,11.0
f9209013-ea58-77f3-5bee-1747e0b3ee53,23,23,5,0.9869082416349974,19.0,12.0,11.0,12.0,16.0,11.0
80e100d1-02c7-ac06-af83-8a5696585de1,5,5,5,0.5562946875,17.0,10.0,10.0,10.0,15.0,10.0
338944b8-c229-94d5-d630-4a4681a37d6c,3,3,4,0.47799375,19.0,12.0,12.0,13.0,16.0,12.0
881a10a9-4d5f-be59-9fd6-4c5e44434e17,40,40,5,0.9984976987501086,16.0,9.0,10.0,11.0,14.0,9.0
5330061d-6bfb-469d-b25d-ae117518db8c,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
cef320e5-e192-a148-0874-dfab596f457f,17,17,5,0.9368865766993456,16.0,12.0,10.0,10.0,10.0,10.0
f1230387-056c-5e7d-c60b-09773366d747,1,1,2,0.15,22.0,16.0,14.0,15.0,19.0,14.0
9365ab00-5027-a70c-0d50-3d7a6ce11a74,1,1,2,0.15,21.0,15.0,13.0,14.0,19.0,13.0
4faf0f23-ded3-06d7-88d2-84963000e568,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0603064e-9866-4ec8-b56e-44043b1ef15e,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
6d210fb2-0ad2-8938-421f-8dfda1d3314c,18,18,5,0.946353590194444,20.0,15.0,12.0,14.0,18.0,12.0
ccde83ee-9b1d-a933-a9f0-f6368fb4d9df,21,21,5,0.9719962387914384,16.0,11.0,11.0,11.0,14.0,11.0
9e456405-ca7f-4f24-b224-80e1b6087291,1,1,2,0.15,28.0,23.0,22.0,22.0,25.0,22.0
9d2cee7f-9f6d-4d95-90b8-fd2fac46e993,20,20,5,0.9612404689154856,14.0,11.0,11.0,10.0,14.0,10.0
6ade0afd-5aee-fbc6-70c9-72711ae4f2d0,2,2,4,0.2775,24.0,21.0,21.0,21.0,23.0,21.0
1b084b09-61ee-bdd6-d70e-09f46b47ce2a,7,7,5,0.67942291171875,14.0,13.0,11.0,11.0,15.0,11.0
5f31fc6a-0204-40ca-8c5c-490a8615991a,6,6,5,0.67942291171875,25.0,19.0,19.0,20.0,22.0,19.0
4654ce6b-c7dd-1b92-17a5-415263ff2ee1,7,7,5,0.67942291171875,25.0,20.0,16.0,19.0,23.0,16.0
d2e72808-4cdf-0183-631e-758075df08b7,8,8,5,0.7683830537167969,32.0,27.0,27.0,27.0,32.0,27.0
b6a395ed-9de5-29fa-312c-77b0d99eae7d,12,12,5,0.857758242863828,17.0,12.0,11.0,12.0,15.0,11.0
3b3d6992-3fdd-fe60-f308-8a24bc5436ba,26,26,5,0.9853818616256234,15.0,10.0,10.0,10.0,14.0,10.0
8af6bf32-99d7-858d-71b3-8536f137c599,5,5,5,0.5562946875,21.0,15.0,15.0,15.0,17.0,15.0
573c72f2-b853-3df7-95a5-298a0dc2306f,15,15,5,0.925748913763936,18.0,13.0,9.0,12.0,14.0,9.0
7d3fac11-ebc0-dd37-eb4b-9a0a50e72882,8,8,5,0.7275094749609375,17.0,12.0,9.0,11.0,14.0,9.0
81eed08b-f7c4-8d04-dadb-4badec05a61f,1,1,2,0.15,22.0,16.0,15.0,13.0,20.0,13.0
e08c636f-0e1d-4385-bcb6-5ff0c55d8066,1,1,2,0.15,25.0,20.0,20.0,20.0,23.0,20.0
