uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
5c96d05c-7882-48a7-dee3-38017bc7007a,1,1,2,0.15,22.0,16.0,15.0,16.0,18.0,15.0
18a30651-ed13-fb26-1010-902df9a3d587,3,3,4,0.385875,23.0,16.0,17.0,16.0,19.0,16.0
ea917977-c0c0-4f1f-b95f-62261deee1da,1,1,2,0.15,29.0,24.0,22.0,21.0,26.0,21.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
e0152a27-2628-cfac-3e22-ed82940c6c80,8,8,5,0.7275094749609375,21.0,15.0,14.0,14.0,20.0,14.0
55152094-0693-114b-208f-b8109892064a,4,4,2,0.5562946875,22.0,17.0,15.0,16.0,21.0,15.0
d7f1f466-6b5f-9066-91fd-b2ed81727711,1,1,2,0.15,27.0,20.0,19.0,19.0,25.0,19.0
3cf2460c-7756-10e1-fafd-b6e662eb1efb,5,5,5,0.622850484375,28.0,24.0,24.0,24.0,27.0,24.0
5800676e-7927-c782-36f0-d3f9d338f4e9,2,2,4,0.2775,20.0,17.0,17.0,16.0,21.0,16.0
23454764-c6fb-e821-cd68-2a0fe03d81a9,2,2,2,0.2775,24.0,19.0,17.0,18.0,21.0,17.0
c683e1d1-73f3-e3a5-0470-8b91b4988fde,22,22,5,0.9719962387914384,18.0,11.0,11.0,11.0,15.0,11.0
27825711-40d9-1bd8-611e-a11ba6a30395,3,3,5,0.385875,20.0,14.0,13.0,14.0,18.0,13.0
78c2283d-f445-5685-3eb2-fcc7dbbfb0ce,3,3,5,0.385875,19.0,13.0,14.0,14.0,18.0,13.0
9a2d2bde-f43a-31a8-fe42-daf3baf03847,1,1,2,0.15,18.0,12.0,12.0,11.0,16.0,11.0
3b10d56b-40b6-4f2d-91ab-6fffd6792863,1,1,2,0.15,33.0,28.0,27.0,27.0,28.0,27.0
1bbe6a60-34f6-43b8-86ef-1d027f58e2ae,1,1,2,0.15,32.0,26.0,26.0,27.0,29.0,26.0
5a062445-f50a-462d-9ae7-06373b45a8ce,3,3,5,0.385875,16.0,10.0,10.0,9.0,13.0,9.0
53335aca-4f05-1d6d-8c78-6f5ad10bc732,7,7,5,0.67942291171875,20.0,13.0,13.0,13.0,17.0,13.0
fd781720-291b-f2f9-bdb8-044b96931602,16,16,5,0.925748913763936,16.0,12.0,12.0,13.0,16.0,12.0
9da59bc5-4ec5-7c3f-4094-2bf63778f459,8,8,5,0.7683830537167969,20.0,15.0,15.0,15.0,19.0,15.0
45e258f6-118c-9a7c-a6a2-7f02ae060f50,1,1,2,0.15,24.0,17.0,17.0,18.0,23.0,17.0
dad8c3fe-a9e5-a9f2-2393-98294b620cd4,1,1,2,0.15,20.0,14.0,14.0,14.0,18.0,14.0
9d7ffee2-cae2-9fd7-0927-1f72a74d8737,3,3,5,0.385875,21.0,17.0,12.0,18.0,20.0,12.0
7df581e3-24d7-c84e-cf56-97c2a50f6f47,10,10,5,0.8031255956592774,17.0,10.0,9.0,11.0,15.0,9.0
64deece7-ad0c-26fd-2333-561fe27b60e9,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
c0743a4f-5f20-9d89-ed41-b77fb7b8a482,5,5,5,0.622850484375,18.0,12.0,11.0,12.0,15.0,11.0
b9af0af3-d812-c844-3ce8-8da3d833a43f,3,3,5,0.385875,18.0,13.0,12.0,6.0,16.0,6.0
72a548d4-88ca-4ecf-bad1-92b0f0478268,8,8,5,0.7275094749609375,18.0,13.0,13.0,13.0,17.0,13.0
ad44f75e-4b70-d310-344a-1af05932c0fc,3,3,5,0.385875,19.0,14.0,14.0,13.0,16.0,13.0
418b178f-4405-ccb5-fe0a-b9ab614520e3,15,15,5,0.9126457808987484,17.0,12.0,10.0,10.0,16.0,10.0
fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,506,506,5,0.9999999999999996,16.0,9.0,10.0,9.0,15.0,9.0
1403bba4-a5a7-1404-2dac-5b4f7205a28e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
54a63917-6a29-4ff7-a347-9144f09d2396,7,7,5,0.67942291171875,19.0,15.0,15.0,15.0,19.0,15.0
11173d13-ca86-4487-8371-ced4675bd431,14,14,5,0.8972303304691157,18.0,12.0,11.0,12.0,16.0,11.0
f6dead42-1d74-9ad4-d2a9-f296d49bb02c,3,3,5,0.385875,18.0,14.0,13.0,13.0,17.0,13.0
