__id,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3
99a1f883-d38f-033a-52bc-f78df63d8572,0.16558333333333333,0.27749999999999997,2,2,0,0.542667633663259,0.47799375,4,4,0.16558333333333333,0.27749999999999997,3,2,1,0,4.0,4.0,4.0,5.0,4.0,4.0,18.0,14.0,12.0,14.0,17.0,12.0,5,3,3
4745691c-5294-616e-b5c0-e4fea994643c,0.207375,0.27749999999999997,2,0,0,0.4650351413766165,0.27749999999999997,2,2,0.207375,0.27749999999999997,2,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,18.0,13.0,12.0,14.0,16.0,12.0,4,2,2
edfa0214-f0fa-98ec-3a59-fe77919956cd,1.723778863736757,0.9999999999988202,164,0,75,11.989178802706496,0.999999999997341,164,164,1.5995634350823091,0.9999999971180265,5,116,0,45,3.0,2.0,3.0,1.0,2.0,1.0,15.0,10.0,9.0,9.0,13.0,9.0,5,116,116
4e337276-9311-ddf2-fb38-9d3dde5c9813,0.1682142857142857,0.15,1,0,0,0.28216371107083815,0.15,1,1,0.1682142857142857,0.15,1,1,0,0,5.0,6.0,6.0,6.0,7.0,5.0,20.0,16.0,15.0,15.0,20.0,15.0,2,1,1
177295fc-4223-6c86-6809-490ef6594f4f,0.21375,0.15,1,0,0,0.5658461366308783,0.15,1,1,0.21375,0.15,1,1,0,0,6.0,7.0,6.0,8.0,7.0,6.0,32.0,28.0,25.0,27.0,30.0,25.0,2,1,1
0e75da90-5840-a2e8-7496-c2cc01a5f870,0.4162287285465052,0.7683830537167969,9,0,0,1.4990012723057053,0.7683830537167969,9,9,0.41998772431835435,0.7683830537167969,3,9,0,0,3.0,4.0,5.0,4.0,4.0,3.0,20.0,17.0,17.0,16.0,21.0,16.0,5,9,9
d9f83d26-2413-46f5-ae2e-330393f90e31,0.2775,0.38587499999999997,3,0,0,1.0,0.38587499999999997,3,3,0.2775,0.38587499999999997,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3
cf1db725-0b43-43f4-890d-771175c9513c,0.15856502510805998,0.38587499999999997,3,0,0,0.5112142494155288,0.38587499999999997,3,3,0.1580985714507901,0.27749999999999997,2,2,0,0,3.0,3.0,3.0,4.0,4.0,3.0,24.0,19.0,17.0,18.0,22.0,17.0,4,2,2
6b5a0f45-b20b-3635-be89-de38e02446e0,0.15,0.0,0,1,0,0.42471569756103755,0.15,1,1,0.15,0.0,1,0,1,0,6.0,6.0,6.0,6.0,6.0,6.0,32.0,28.0,28.0,28.0,32.0,28.0,2,1,1
dcea3169-99ba-15bb-b4ca-f3e91351bb31,0.15,0.0,0,1,0,0.25528595313549085,0.15,1,1,0.15,0.0,1,0,1,0,4.0,5.0,4.0,5.0,5.0,4.0,25.0,21.0,19.0,20.0,23.0,19.0,2,1,1
b9944c13-a90a-f5d9-9fb5-c21354405275,0.16416666666666666,0.15,1,0,0,0.32162048875488913,0.15,1,1,0.16416666666666666,0.15,1,1,0,0,6.0,6.0,5.0,7.0,6.0,5.0,22.0,14.0,15.0,15.0,19.0,14.0,2,1,1
403714eb-0a18-e0ca-f7c7-5805e8d7088d,0.15,0.0,0,30,0,3.1201329786447247,0.9923692404052106,30,30,0.15,0.0,5,0,25,0,3.0,3.0,4.0,2.0,3.0,2.0,22.0,17.0,15.0,16.0,18.0,15.0,5,25,25
23afde15-4cc8-49cb-a245-9dfb394651b9,0.15,0.0,0,1,0,0.3310066714896939,0.15,1,1,0.15,0.0,1,0,1,0,4.0,5.0,4.0,5.0,5.0,4.0,26.0,22.0,18.0,22.0,25.0,18.0,2,1,1
3440fdd7-6533-4635-935c-76a157fe69ea,0.15,0.0,0,1,0,0.3564710011730361,0.15,1,1,0.15,0.0,1,0,1,0,6.0,6.0,6.0,6.0,6.0,6.0,34.0,28.0,28.0,28.0,32.0,28.0,2,1,1
ab87baa1-70b5-4e03-afd7-fc40e6da6a9b,0.15,0.0,0,1,0,0.29925762388653043,0.15,1,1,0.15,0.0,1,0,1,0,4.0,5.0,4.0,5.0,5.0,4.0,28.0,22.0,21.0,19.0,25.0,19.0,2,1,1
6b49b19e-f515-4076-99a6-dca8eca92a30,0.15,0.0,0,1,0,0.347851354527281,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,29.0,24.0,22.0,21.0,26.0,21.0,2,1,1
7de36ba5-f600-4c4b-9418-8bd0642ff546,0.15,0.0,0,3,0,0.7034566825464857,0.38587499999999997,3,3,0.15,0.0,2,0,2,0,6.0,5.0,6.0,6.0,5.0,5.0,35.0,31.0,30.0,30.0,33.0,30.0,4,2,2
a3399d75-d8fa-51fe-f8d5-ebf81f37e05f,0.15,0.0,0,2,0,0.5104211789145199,0.27749999999999997,2,2,0.15,0.0,2,0,2,0,4.0,5.0,4.0,5.0,5.0,4.0,27.0,22.0,21.0,22.0,26.0,21.0,4,2,2
90578159-021b-1df8-8e9b-365203d5b12b,0.15,0.0,0,2,0,0.6162387976878114,0.27749999999999997,2,2,0.15,0.0,2,0,2,0,6.0,5.0,6.0,4.0,5.0,4.0,31.0,25.0,23.0,23.0,27.0,23.0,4,2,2
1187fe53-542f-2f5d-f04f-8440b4b3c859,0.15,0.0,0,1,0,0.2625932717738221,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,25.0,17.0,18.0,18.0,21.0,17.0,2,1,1
a3bf584b-4fde-422f-1bd0-de7f6ee2166f,0.18187499999999998,0.38587499999999997,3,0,0,0.5761768439634396,0.38587499999999997,3,3,0.18187499999999998,0.38587499999999997,3,3,0,0,6.0,5.0,6.0,5.0,4.0,4.0,19.0,12.0,13.0,13.0,18.0,12.0,5,3,3
471d7906-d3b4-5b1d-23d7-d16a791b494a,0.15,0.0,0,7,0,0.7904475988536412,0.67942291171875,7,7,0.15,0.0,4,0,4,0,3.0,4.0,4.0,4.0,5.0,3.0,20.0,17.0,14.0,16.0,18.0,14.0,5,4,4
6238a678-8749-1d2e-089d-cf71eb599609,0.15,0.0,0,21,0,3.3179102562172247,0.9719962387914384,21,21,0.15,0.0,4,0,14,0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,18.0,17.0,16.0,20.0,16.0,5,14,14
a2288f34-5a54-407f-9d9b-72486fc9c887,0.15,0.0,0,2,0,0.6138220580208118,0.27749999999999997,2,2,0.15,0.0,2,0,2,0,5.0,4.0,4.0,5.0,5.0,4.0,28.0,22.0,20.0,20.0,24.0,20.0,4,2,2
b6bceca9-0d75-3bd3-210f-a2faa88113e4,0.15,0.0,0,3,0,0.6430673897851039,0.47799375,3,3,0.15,0.0,2,0,3,0,4.0,4.0,4.0,4.0,5.0,4.0,23.0,17.0,16.0,17.0,20.0,16.0,4,3,3
05feff5a-f2dc-8016-0b43-221384d42505,0.15,0.0,0,9,0,0.8966892969350335,0.7683830537167969,9,9,0.15,0.0,5,0,5,0,4.0,4.0,4.0,4.0,4.0,4.0,23.0,18.0,17.0,17.0,21.0,17.0,5,5,5
0dca2286-a575-4464-a924-d16f9b5ea400,0.15,0.0,0,2,0,0.39102732713600696,0.27749999999999997,2,2,0.15,0.0,2,0,2,0,4.0,6.0,5.0,6.0,6.0,4.0,27.0,20.0,19.0,21.0,23.0,19.0,4,2,2
ff52140c-8e45-09d2-ffe6-5d88ada416b7,0.20525000000000002,0.27749999999999997,2,39,3,3.388452939974233,0.9987230439375924,41,41,0.2084375,0.27749999999999997,5,2,35,3,3.0,4.0,4.0,4.0,4.0,3.0,21.0,15.0,15.0,15.0,20.0,15.0,5,37,37
60768fb8-8b2b-c26d-9362-7ae9d17f980b,0.15,0.0,0,2,0,0.33183432960019227,0.27749999999999997,2,2,0.15,0.0,2,0,2,0,4.0,4.0,4.0,4.0,5.0,4.0,23.0,18.0,17.0,17.0,21.0,17.0,4,2,2
e6659047-8a99-d47e-520b-fc7fc621288f,0.8429193175211559,0.9923692404052106,30,0,5,3.036102204722317,0.9923692404052106,30,30,0.8366692827294849,0.9828021901477921,5,25,0,3,3.0,3.0,3.0,3.0,3.0,3.0,16.0,10.0,10.0,11.0,14.0,10.0,5,25,25
bf9cf8d3-ca64-4ce1-835b-b99fd0b5f70f,0.7556249999999999,0.9126457808987484,15,0,0,2.661655718761734,0.9126457808987484,15,15,0.7556249999999999,0.9126457808987484,3,15,0,0,7.0,6.0,7.0,7.0,6.0,6.0,19.0,17.0,16.0,16.0,21.0,16.0,5,15,15
9910705e-c925-4041-a22e-7c89941c3b66,0.4029511461089926,0.9257489137639361,16,0,4,1.6014032094048158,0.9257489137639361,16,16,0.42762140158710904,0.9126457808987484,5,15,0,3,3.0,3.0,3.0,3.0,3.0,3.0,16.0,12.0,11.0,11.0,12.0,11.0,5,15,15
5f6f09bc-85b1-4db0-9684-af27eb215081,0.15,0.0,0,1,0,0.3504415181715317,0.15,1,1,0.15,0.0,1,0,1,0,5.0,4.0,4.0,4.0,5.0,4.0,28.0,22.0,22.0,21.0,26.0,21.0,2,1,1
29870a7c-07ed-5748-2ef2-87c26fa8eb3c,2.25396239026209,0.9999579299145347,62,1,11,7.314795503549336,0.9999749682991482,63,63,2.21831248883769,0.9997486000358443,5,51,1,8,3.0,2.0,3.0,3.0,3.0,2.0,17.0,9.0,10.0,11.0,13.0,9.0,5,52,52
daaa0d7e-7617-5159-c4c6-fd87cc6268ea,0.15,0.0,0,5,0,1.5233437701934032,0.755962078125,5,5,0.15,0.0,2,0,5,0,4.0,4.0,4.0,5.0,5.0,4.0,20.0,17.0,16.0,17.0,20.0,16.0,4,5,5
1a3c61ce-e607-457b-8f23-e6e6cbeb68bf,0.15,0.0,0,3,0,0.6606050009998936,0.38587499999999997,3,3,0.15,0.0,2,0,3,0,4.0,4.0,4.0,5.0,5.0,4.0,29.0,22.0,23.0,24.0,27.0,22.0,4,3,3
