uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
738b3e3c-b878-4696-daf1-73547c7f918c,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
702b350f-0483-4b3a-909c-f5939354c9f8,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ecfa5635-cda7-d7c9-d655-4865140c2c39,4,4,5,0.47799375,18.0,12.0,12.0,11.0,17.0,11.0
e7838239-5bb3-4129-9ff2-02dc381090be,2,2,4,0.2775,29.0,24.0,24.0,23.0,26.0,23.0
404529d7-8b41-48bd-90e2-7b5d31b66c1b,1,1,2,0.15,20.0,17.0,13.0,17.0,17.0,13.0
94d54634-c6ff-4549-8ac7-6e392f9b44f1,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
b3b91555-e65d-4ff5-acd0-72a8c9fd3ffd,8,8,5,0.7275094749609375,16.0,11.0,11.0,11.0,16.0,11.0
7aa96953-145c-4278-a76c-cfe8408767fe,5,5,5,0.5562946875,24.0,19.0,19.0,18.0,22.0,18.0
82cb1cac-5484-7b1d-81cb-b266f9167542,12,12,5,0.857758242863828,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
70b6ed3b-7199-4e82-96ad-86e7331a77db,3,3,5,0.385875,21.0,16.0,14.0,15.0,18.0,14.0
463df3c5-5ab7-4057-aa47-94d6430e54f1,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
4efdfa85-9e1d-4613-a2e2-74c5e012789f,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
a7e6503a-78f5-4684-931f-884342918768,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
5d644041-b2fd-5191-d813-1e185f16accf,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
3090cc20-a2dd-8102-e739-005371f321d9,3,3,5,0.385875,20.0,14.0,12.0,14.0,16.0,12.0
8fe4404f-c792-3160-a13c-11c51ff80fac,9,9,5,0.7683830537167969,20.0,14.0,15.0,15.0,19.0,14.0
7133b0d7-73ce-5c08-b7ca-75b904fdeb5b,22,22,5,0.9719962387914384,20.0,15.0,13.0,14.0,17.0,13.0
40dd58bc-e3e6-b950-3633-33efe8414bd4,15,15,5,0.9126457808987484,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
b84ff740-e25e-4a57-ad38-34ba4633dfad,3,3,5,0.385875,19.0,13.0,11.0,13.0,16.0,11.0
b2599bc6-2117-43c5-8472-36f19f4029bb,3,3,5,0.385875,19.0,14.0,15.0,15.0,19.0,14.0
065b0f78-2230-4cf3-83cc-041b566b19c4,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
2e263c5d-e579-4147-8d0d-5b3dfb198264,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
